build,computer.platform,date,time,subject,group,blockcode,blocknum,trialcode,trialnum,expressions.trialcount,parameters.digitpresentationtime,parameters.maskpresentationtime,values.trialtype,values.digit,values.fontsize,response,correct,values.RT,latency,values.latencytype,values.responsetype,values.count_anticipatory,values.correctsuppressions,values.count_NoGo,values.incorrectsuppressions,values.count_Go,values.count_validGo,values.dostim,radiobuttons.difficulty.response,radiobuttons.interest.response
3.8.10,Windows,81522,16:37:42,test,0,SART,1,nogo,1,1,25,90,nogo,3,10ptc,space,0,1105,1105,3,NoGo Failure,0,0,1,0,0,0,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,SART,1,go,2,2,25,90,go,8,13ptc,space,1,989,989,3,Go Success,0,0,1,0,1,1,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,SART,1,go,3,3,25,90,go,7,16ptc,space,1,954,954,3,Go Success,0,0,1,0,2,2,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,SART,1,nogo,4,4,25,90,nogo,3,19ptc,space,0,896,896,3,NoGo Failure,0,0,2,0,2,2,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,SART,1,go,5,5,25,90,go,6,21ptc,space,1,969,969,3,Go Success,0,0,2,0,3,3,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,SART,1,nogo,6,6,25,90,nogo,3,21ptc,space,0,863,863,3,NoGo Failure,0,0,3,0,3,3,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,SART,1,go,7,7,25,90,go,5,19ptc,0,0,0,0,0,Omission,0,0,3,1,4,3,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,SART,1,go,8,8,25,90,go,7,10ptc,space,1,1036,1036,3,Go Success,0,0,3,1,5,4,0,0,0
3.8.10,Windows,81522,16:37:42,test,0,SART,1,go,9,9,25,90,go,5,16ptc,space,1,961,961,3,Go Success,0,0,3,1,6,5,0,0,0
