build,computer.platform,date,time,subject,group,blockcode,blocknum,trialcode,trialnum,expressions.trialcount,parameters.digitpresentationtime,parameters.maskpresentationtime,values.trialtype,values.digit,values.fontsize,response,correct,values.RT,latency,values.latencytype,values.responsetype,values.count_anticipatory,values.correctsuppressions,values.count_NoGo,values.incorrectsuppressions,values.count_Go,values.count_validGo,values.dostim,values.amp,values.order
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,94,94,25,90,nogo,3,19ptc,0,1,0,0,0,NoGo Success,2,6,10,50,84,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,95,95,25,90,go,7,13ptc,0,0,0,0,0,Omission,2,6,10,51,85,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,96,96,25,90,nogo,3,21ptc,0,1,0,0,0,NoGo Success,2,7,11,51,85,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,97,97,25,90,go,9,19ptc,0,0,0,0,0,Omission,2,7,11,52,86,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,98,98,25,90,go,2,16ptc,0,0,0,0,0,Omission,2,7,11,53,87,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,99,99,25,90,go,2,13ptc,0,0,0,0,0,Omission,2,7,11,54,88,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,100,100,25,90,go,2,10ptc,0,0,0,0,0,Omission,2,7,11,55,89,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,101,101,25,90,go,5,19ptc,0,0,0,0,0,Omission,2,7,11,56,90,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,102,102,25,90,go,7,21ptc,0,0,0,0,0,Omission,2,7,11,57,91,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,103,103,25,90,go,6,16ptc,0,0,0,0,0,Omission,2,7,11,58,92,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,104,104,25,90,go,1,13ptc,0,0,0,0,0,Omission,2,7,11,59,93,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,105,105,25,90,go,2,10ptc,0,0,0,0,0,Omission,2,7,11,60,94,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,106,106,25,90,go,9,10ptc,0,0,0,0,0,Omission,2,7,11,61,95,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,107,107,25,90,go,8,16ptc,0,0,0,0,0,Omission,2,7,11,62,96,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,108,108,25,90,go,8,13ptc,0,0,0,0,0,Omission,2,7,11,63,97,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,109,109,25,90,go,8,21ptc,0,0,0,0,0,Omission,2,7,11,64,98,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,110,110,25,90,go,4,19ptc,0,0,0,0,0,Omission,2,7,11,65,99,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,111,111,25,90,go,2,19ptc,0,0,0,0,0,Omission,2,7,11,66,100,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,112,112,25,90,go,1,10ptc,0,0,0,0,0,Omission,2,7,11,67,101,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,113,113,25,90,go,4,21ptc,0,0,0,0,0,Omission,2,7,11,68,102,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,114,114,25,90,go,5,16ptc,0,0,0,0,0,Omission,2,7,11,69,103,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,115,115,25,90,go,1,13ptc,0,0,0,0,0,Omission,2,7,11,70,104,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,116,116,25,90,go,9,16ptc,0,0,0,0,0,Omission,2,7,11,71,105,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,117,117,25,90,nogo,3,19ptc,0,1,0,0,0,NoGo Success,2,8,12,71,105,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,118,118,25,90,go,6,21ptc,0,0,0,0,0,Omission,2,8,12,72,106,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,119,119,25,90,go,5,13ptc,0,0,0,0,0,Omission,2,8,12,73,107,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,120,120,25,90,go,7,10ptc,0,0,0,0,0,Omission,2,8,12,74,108,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,121,121,25,90,go,8,16ptc,0,0,0,0,0,Omission,2,8,12,75,109,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,122,122,25,90,go,2,19ptc,0,0,0,0,0,Omission,2,8,12,76,110,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,123,123,25,90,go,1,21ptc,0,0,0,0,0,Omission,2,8,12,77,111,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,124,124,25,90,go,8,13ptc,0,0,0,0,0,Omission,2,8,12,78,112,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,125,125,25,90,go,2,10ptc,0,0,0,0,0,Omission,2,8,12,79,113,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,126,126,25,90,go,5,19ptc,0,0,0,0,0,Omission,2,8,12,80,114,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,127,127,25,90,go,1,13ptc,0,0,0,0,0,Omission,2,8,12,81,115,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,128,128,25,90,go,4,16ptc,0,0,0,0,0,Omission,2,8,12,82,116,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,129,129,25,90,go,2,21ptc,0,0,0,0,0,Omission,2,8,12,83,117,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,130,130,25,90,go,6,10ptc,0,0,0,0,0,Omission,2,8,12,84,118,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,131,131,25,90,go,4,21ptc,0,0,0,0,0,Omission,2,8,12,85,119,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,132,132,25,90,go,7,19ptc,0,0,0,0,0,Omission,2,8,12,86,120,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,133,133,25,90,go,9,10ptc,0,0,0,0,0,Omission,2,8,12,87,121,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,134,134,25,90,go,6,16ptc,0,0,0,0,0,Omission,2,8,12,88,122,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,135,135,25,90,go,8,13ptc,0,0,0,0,0,Omission,2,8,12,89,123,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,136,136,25,90,go,8,10ptc,0,0,0,0,0,Omission,2,8,12,90,124,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,137,137,25,90,go,6,13ptc,0,0,0,0,0,Omission,2,8,12,91,125,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,138,138,25,90,go,9,21ptc,0,0,0,0,0,Omission,2,8,12,92,126,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,139,139,25,90,go,6,16ptc,0,0,0,0,0,Omission,2,8,12,93,127,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,140,140,25,90,go,4,19ptc,0,0,0,0,0,Omission,2,8,12,94,128,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,141,141,25,90,go,9,21ptc,0,0,0,0,0,Omission,2,8,12,95,129,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,142,142,25,90,nogo,3,10ptc,0,1,0,0,0,NoGo Success,2,9,13,95,129,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,143,143,25,90,go,9,13ptc,0,0,0,0,0,Omission,2,9,13,96,130,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,144,144,25,90,go,7,19ptc,0,0,0,0,0,Omission,2,9,13,97,131,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,145,145,25,90,go,7,16ptc,0,0,0,0,0,Omission,2,9,13,98,132,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,146,146,25,90,go,9,16ptc,0,0,0,0,0,Omission,2,9,13,99,133,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,147,147,25,90,go,4,13ptc,0,0,0,0,0,Omission,2,9,13,100,134,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,148,148,25,90,go,8,19ptc,0,0,0,0,0,Omission,2,9,13,101,135,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,149,149,25,90,go,4,10ptc,0,0,0,0,0,Omission,2,9,13,102,136,29,0.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,150,150,25,90,go,1,21ptc,0,0,0,0,0,Omission,2,9,13,103,137,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,151,151,25,90,go,7,16ptc,0,0,0,0,0,Omission,2,9,13,104,138,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,152,152,25,90,go,2,10ptc,0,0,0,0,0,Omission,2,9,13,105,139,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,nogo,153,153,25,90,nogo,3,19ptc,0,1,0,0,0,NoGo Success,2,10,14,105,139,29,1.0,1,AABB
3.8.10,Windows,11122,15:28:3,999998,testrun,SART,1,go,154,154,25,90,go,6,13ptc,0,0,0,0,0,Omission,2,10,14,106,140,29,1.0,1,AABB
